YEAR,RANK,RIDER,RIDER NO.,TEAM,TIMES,GAP,DISTNACE
2013,25, PETER VELITS,159,OMEGA PHARMA-QUICK STEP,84H 50' 40'',+ 00H 54' 00'',3404
2013,26, ROBERT GESINK,162,BELKIN PRO CYCLING,84H 51' 05'',+ 00H 54' 25'',3404
2013,27, RUI COSTA,124,MOVISTAR TEAM,84H 51' 14'',+ 00H 54' 34'',3404
2013,28, WOUT POELS,201,VACANSOLEIL-DCM,84H 53' 13'',+ 00H 56' 33'',3404
2013,29, ARNOLD JEANNESSON,77,FDJ.FR,84H 53' 46'',+ 00H 57' 06'',3404
2013,30, ANDREAS KLÖDEN,46,RADIOSHACK LEOPARD,84H 59' 23'',+ 01H 02' 43'',3404
2013,31, SYLVAIN CHAVANEL,152,OMEGA PHARMA-QUICK STEP,85H 00' 21'',+ 01H 03' 41'',3404
2013,32, CYRIL GAUTIER,54,TEAM EUROPCAR,85H 09' 22'',+ 01H 12' 42'',3404
2013,33, DANIEL MARTIN,175,GARMIN - SHARP,85H 09' 48'',+ 01H 13' 08'',3404
2013,34, HUBERT DUPONT,85,AG2R LA MONDIALE,85H 11' 39'',+ 01H 14' 59'',3404
2013,35, STEVE MORABITO,36,BMC RACING TEAM,85H 17' 19'',+ 01H 20' 39'',3404
2013,36, HAIMAR ZUBELDIA,49,RADIOSHACK LEOPARD,85H 21' 02'',+ 01H 24' 22'',3404
2013,37, CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,85H 24' 37'',+ 01H 27' 57'',3404
2013,38, BART DE CLERCQ,23,LOTTO-BELISOL,85H 24' 46'',+ 01H 28' 06'',3404
2013,39, CADEL EVANS,31,BMC RACING TEAM,85H 26' 54'',+ 01H 30' 14'',3404
2013,40, NICOLAS ROCHE,97,TEAM SAXO-TINKOFF,85H 30' 57'',+ 01H 34' 17'',3404
2013,41, TOM DUMOULIN,194,TEAM ARGOS-SHIMANO,85H 31' 10'',+ 01H 34' 30'',3404
2013,42, MIKEL ASTARLOZA,112,EUSKALTEL - EUSKADI,85H 33' 07'',+ 01H 36' 27'',3404
2013,43, JESUS ALBERTO HERNANDEZ BLAZQUEZ,93,TEAM SAXO-TINKOFF,85H 33' 20'',+ 01H 36' 40'',3404
2013,44, ALEXANDRE GENIEZ,76,FDJ.FR,85H 34' 46'',+ 01H 38' 06'',3404
2013,45, TEJAY VAN GARDEREN,39,BMC RACING TEAM,85H 35' 37'',+ 01H 38' 57'',3404
2013,46, ALEXIS VUILLERMOZ,219,SOJASUN,85H 36' 45'',+ 01H 40' 05'',3404
2013,47, RUBEN PLAZA MOLINA,127,MOVISTAR TEAM,85H 37' 15'',+ 01H 40' 35'',3404
2013,48, EDUARD VORGANOV,109,KATUSHA TEAM,85H 39' 21'',+ 01H 42' 41'',3404
2013,49, DAVIDE MALACARNE,56,TEAM EUROPCAR,85H 41' 30'',+ 01H 44' 50'',3404
2013,50, LARS PETTER NORDHAUG,165,BELKIN PRO CYCLING,85H 46' 22'',+ 01H 49' 42'',3404
2013,51, YURY TROFIMOV,108,KATUSHA TEAM,85H 46' 34'',+ 01H 49' 54'',3404
2013,52, MAXIME MEDEREL,217,SOJASUN,85H 49' 41'',+ 01H 53' 01'',3404
2013,53, LAURENT DIDIER,43,RADIOSHACK LEOPARD,85H 55' 33'',+ 01H 58' 53'',3404
2013,54, ANDREY AMADOR,122,MOVISTAR TEAM,85H 55' 39'',+ 01H 58' 59'',3404
2013,55, DAMIANO CUNEGO,141,LAMPRE - MERIDA,85H 56' 18'',+ 01H 59' 38'',3404
2013,56, AMAEL MOINARD,35,BMC RACING TEAM,85H 56' 43'',+ 02H 00' 03'',3404
2013,57, PRZEMYSLAW NIEMIEC,148,LAMPRE - MERIDA,85H 57' 08'',+ 02H 00' 28'',3404
2013,58, TONY GALLOPIN,44,RADIOSHACK LEOPARD,85H 59' 39'',+ 02H 02' 59'',3404
2013,59, PIERRICK FEDRIGO,74,FDJ.FR,86H 00' 59'',+ 02H 04' 19'',3404
2013,60, THOMAS DANIELSON,173,GARMIN - SHARP,86H 02' 08'',+ 02H 05' 28'',3404
2013,61, GUILLAUME LEVARLET,136,"COFIDIS, SOLUTIONS CREDITS",86H 03' 41'',+ 02H 07' 01'',3404
2013,62, PHILIPPE GILBERT,34,BMC RACING TEAM,86H 03' 51'',+ 02H 07' 11'',3404
2013,63, JÉRÔME COPPEL,133,"COFIDIS, SOLUTIONS CREDITS",86H 05' 53'',+ 02H 09' 13'',3404
2013,64, BRAM TANKINK,166,BELKIN PRO CYCLING,86H 06' 52'',+ 02H 10' 12'',3404
2013,65, THOMAS VOECKLER,59,TEAM EUROPCAR,86H 09' 28'',+ 02H 12' 48'',3404
2013,66, ARTHUR VICHOT,79,FDJ.FR,86H 11' 46'',+ 02H 15' 06'',3404
2013,67, JENS VOIGT,48,RADIOSHACK LEOPARD,86H 11' 49'',+ 02H 15' 09'',3404
2013,68, SIMON CLARKE,183,ORICA GREENEDGE,86H 16' 54'',+ 02H 20' 14'',3404
2013,69, JON IZAGUIRRE INSAUSTI,114,EUSKALTEL - EUSKADI,86H 18' 12'',+ 02H 21' 32'',3404
2013,70, RYDER HESJEDAL,171,GARMIN - SHARP,86H 18' 21'',+ 02H 21' 41'',3404
2013,71, ALESSANDRO DE MARCHI,13,CANNONDALE,86H 19' 51'',+ 02H 23' 11'',3404
2013,72, ADAM JAMES HANSEN,25,LOTTO-BELISOL,86H 19' 55'',+ 02H 23' 15'',3404
2013,73, RUDY MOLARD,138,"COFIDIS, SOLUTIONS CREDITS",86H 22' 05'',+ 02H 25' 25'',3404
2013,74, DARYL IMPEY,185,ORICA GREENEDGE,86H 23' 17'',+ 02H 26' 37'',3404
2013,75, SIMON GESCHKE,196,TEAM ARGOS-SHIMANO,86H 24' 22'',+ 02H 27' 42'',3404
2013,76, MANUELE MORI,147,LAMPRE - MERIDA,86H 24' 59'',+ 02H 28' 19'',3404
2013,77, PETER KENNAUGH,3,SKY PROCYCLING,86H 30' 26'',+ 02H 33' 46'',3404
2013,78, JUAN JOSÉ OROZ UGALDE,117,EUSKALTEL - EUSKADI,86H 30' 35'',+ 02H 33' 55'',3404
2013,79, JOSÉ ROJAS,129,MOVISTAR TEAM,86H 30' 45'',+ 02H 34' 05'',3404
2013,80, SIMON GERRANS,181,ORICA GREENEDGE,86H 31' 16'',+ 02H 34' 36'',3404
2013,81, JULIEN EL FARES,213,SOJASUN,86H 33' 08'',+ 02H 36' 28'',3404
2013,82, PETER SAGAN,11,CANNONDALE,86H 35' 31'',+ 02H 38' 51'',3404
2013,83, SERGEY LAGUTIN,206,VACANSOLEIL-DCM,86H 35' 35'',+ 02H 38' 55'',3404
2013,84, FRANCESCO GAVAZZI,65,ASTANA PRO TEAM,86H 35' 48'',+ 02H 39' 08'',3404
2013,85, MANUEL QUINZIATO,37,BMC RACING TEAM,86H 36' 14'',+ 02H 39' 34'',3404
2013,86, MICHAEL ALBASINI,182,ORICA GREENEDGE,86H 37' 02'',+ 02H 40' 22'',3404
2013,87, JULIEN SIMON,218,SOJASUN,86H 38' 04'',+ 02H 41' 24'',3404
2013,88, LUIS ANGEL MATE MARDONES,137,"COFIDIS, SOLUTIONS CREDITS",86H 40' 08'',+ 02H 43' 28'',3404
2013,89, ANTHONY DELAPLACE,212,SOJASUN,86H 40' 53'',+ 02H 44' 13'',3404
2013,90, KANSTANTSIN SIUTSOU,7,SKY PROCYCLING,86H 41' 23'',+ 02H 44' 43'',3404
2013,91, BRENT BOOKWALTER,32,BMC RACING TEAM,86H 41' 45'',+ 02H 45' 05'',3404
2013,92, MATTEO TOSATTO,99,TEAM SAXO-TINKOFF,86H 44' 19'',+ 02H 47' 39'',3404
2013,93, JUAN ANTONIO FLECHA GIANNONI,204,VACANSOLEIL-DCM,86H 44' 43'',+ 02H 48' 03'',3404
2013,94, MORENO MOSER,17,CANNONDALE,86H 50' 07'',+ 02H 53' 27'',3404
2013,95, ENRICO GASPAROTTO,64,ASTANA PRO TEAM,86H 50' 16'',+ 02H 53' 36'',3404
2013,96, THOMAS DE GENDT,203,VACANSOLEIL-DCM,86H 50' 21'',+ 02H 53' 41'',3404
2013,97, JONATHAN CASTROVIEJO,123,MOVISTAR TEAM,86H 50' 21'',+ 02H 53' 41'',3404
2013,98, MARCUS BURGHARDT,33,BMC RACING TEAM,86H 50' 41'',+ 02H 54' 01'',3404
2013,99, YUKIYA ARASHIRO,52,TEAM EUROPCAR,86H 51' 33'',+ 02H 54' 53'',3404
2013,100, KRISTIJAN KOREN,15,CANNONDALE,86H 53' 43'',+ 02H 57' 03'',3404
2013,101, JOHNNY HOOGERLAND,205,VACANSOLEIL-DCM,86H 54' 39'',+ 02H 57' 59'',3404
2013,102, REIN TAARAMÄE,131,"COFIDIS, SOLUTIONS CREDITS",86H 55' 49'',+ 02H 59' 09'',3404
2013,103, MARKEL IRIZAR ARRANBURU,45,RADIOSHACK LEOPARD,86H 56' 19'',+ 02H 59' 39'',3404
2013,104, BRICE FEILLU,211,SOJASUN,86H 56' 25'',+ 02H 59' 45'',3404
2013,105, LARS BOOM,161,BELKIN PRO CYCLING,86H 59' 32'',+ 03H 02' 52'',3404
2013,106, TONY MARTIN,154,OMEGA PHARMA-QUICK STEP,87H 02' 05'',+ 03H 05' 25'',3404
2013,107, DANIELE BENNATI,92,TEAM SAXO-TINKOFF,87H 02' 35'',+ 03H 05' 55'',3404
2013,108, LARS BAK YTTING,22,LOTTO-BELISOL,87H 03' 52'',+ 03H 07' 12'',3404
2013,109, ALBERTO LOSADA ALGUACIL,105,KATUSHA TEAM,87H 04' 06'',+ 03H 07' 26'',3404
2013,110, PAVEL BRUTT,102,KATUSHA TEAM,87H 06' 27'',+ 03H 09' 47'',3404
2013,111, ALAN MARANGONI,16,CANNONDALE,87H 06' 41'',+ 03H 10' 01'',3404
2013,112, CYRIL LEMOINE,215,SOJASUN,87H 08' 18'',+ 03H 11' 38'',3404
2013,113, DAVID MILLAR,176,GARMIN - SHARP,87H 11' 05'',+ 03H 14' 25'',3404
2013,114, MACIEJ BODNAR,12,CANNONDALE,87H 11' 55'',+ 03H 15' 15'',3404
2013,115, EGOITZ GARCIA ECHEGUIBEL,134,"COFIDIS, SOLUTIONS CREDITS",87H 13' 08'',+ 03H 16' 28'',3404
2013,116, JEAN MARC MARINO,216,SOJASUN,87H 13' 10'',+ 03H 16' 30'',3404
2013,117, FABIO SABATINI,18,CANNONDALE,87H 15' 20'',+ 03H 18' 40'',3404
2013,118, IMANOL ERVITI,125,MOVISTAR TEAM,87H 15' 52'',+ 03H 19' 12'',3404
2013,119, GATIS SMUKULIS,107,KATUSHA TEAM,87H 17' 46'',+ 03H 21' 06'',3404
2013,120, RAMUNAS NAVARDAUSKAS,177,GARMIN - SHARP,87H 18' 09'',+ 03H 21' 29'',3404
2013,121, JOHN DEGENKOLB,191,TEAM ARGOS-SHIMANO,87H 20' 03'',+ 03H 23' 23'',3404
2013,122, ROMAIN SICARD,119,EUSKALTEL - EUSKADI,87H 20' 34'',+ 03H 23' 54'',3404
2013,123, DAVID VEILLEUX,58,TEAM EUROPCAR,87H 20' 56'',+ 03H 24' 16'',3404
2013,124, SÉBASTIEN MINARD,88,AG2R LA MONDIALE,87H 21' 08'',+ 03H 24' 28'',3404
2013,125, BLEL KADRI,87,AG2R LA MONDIALE,87H 23' 57'',+ 03H 27' 17'',3404
2013,126, JÉRÉMY ROY,78,FDJ.FR,87H 25' 19'',+ 03H 28' 39'',3404
2013,127, DAVID LOPEZ GARCIA,5,SKY PROCYCLING,87H 25' 27'',+ 03H 28' 47'',3404
2013,128, ELIA FAVILLI,144,LAMPRE - MERIDA,87H 27' 59'',+ 03H 31' 19'',3404
2013,129, ANDRÉ GREIPEL,24,LOTTO-BELISOL,87H 28' 47'',+ 03H 32' 07'',3404
2013,130, CAMERON MEYER,187,ORICA GREENEDGE,87H 28' 54'',+ 03H 32' 14'',3404
2013,131, SEP VANMARCKE,168,BELKIN PRO CYCLING,87H 31' 13'',+ 03H 34' 33'',3404
2013,132, MAARTEN WYNANTS,169,BELKIN PRO CYCLING,87H 33' 46'',+ 03H 37' 06'',3404
2013,133, MURILO ANTONIO FISCHER,75,FDJ.FR,87H 34' 28'',+ 03H 37' 48'',3404
2013,134, KÉVIN REZA,57,TEAM EUROPCAR,87H 35' 11'',+ 03H 38' 31'',3404
2013,135, IAN STANNARD,8,SKY PROCYCLING,87H 35' 29'',+ 03H 38' 49'',3404
2013,136, SERGIO MIGUEL MOREIRA PAULINHO,96,TEAM SAXO-TINKOFF,87H 35' 38'',+ 03H 38' 58'',3404
2013,137, DAVIDE CIMOLAI,143,LAMPRE - MERIDA,87H 37' 11'',+ 03H 40' 31'',3404
2013,138, KOEN DE KORT,193,TEAM ARGOS-SHIMANO,87H 37' 35'',+ 03H 40' 55'',3404
2013,139, RUBEN PEREZ MORENO,118,EUSKALTEL - EUSKADI,87H 39' 55'',+ 03H 43' 15'',3404
2013,140, GERAINT THOMAS,9,SKY PROCYCLING,87H 40' 14'',+ 03H 43' 34'',3404
2013,141, ALIAKSANDR KUCHYNSKI,104,KATUSHA TEAM,87H 41' 42'',+ 03H 45' 02'',3404
2013,142, MATTEO TRENTIN,158,OMEGA PHARMA-QUICK STEP,87H 42' 10'',+ 03H 45' 30'',3404
2013,143, SAMUEL DUMOULIN,84,AG2R LA MONDIALE,87H 43' 51'',+ 03H 47' 11'',3404
2013,144, BOY VAN POPPEL,207,VACANSOLEIL-DCM,87H 44' 55'',+ 03H 48' 15'',3404
2013,145, ROY CURVERS,192,TEAM ARGOS-SHIMANO,87H 45' 10'',+ 03H 48' 30'',3404
2013,146, JOHANNES FRÖHLINGER,195,TEAM ARGOS-SHIMANO,87H 45' 42'',+ 03H 49' 02'',3404
2013,147, ALEXANDER KRISTOFF,103,KATUSHA TEAM,87H 46' 30'',+ 03H 49' 50'',3404
2013,148, MARK CAVENDISH,151,OMEGA PHARMA-QUICK STEP,87H 48' 44'',+ 03H 52' 04'',3404
2013,149, NIKI TERPSTRA,157,OMEGA PHARMA-QUICK STEP,87H 48' 45'',+ 03H 52' 05'',3404
2013,150, THOMAS LEEZER,163,BELKIN PRO CYCLING,87H 50' 35'',+ 03H 53' 55'',3404
2013,151, JONATHAN HIVERT,214,SOJASUN,87H 53' 49'',+ 03H 57' 09'',3404
2013,152, MATTHEW HARLEY GOSS,184,ORICA GREENEDGE,87H 54' 04'',+ 03H 57' 24'',3404
2013,153, GERT STEEGMANS,156,OMEGA PHARMA-QUICK STEP,87H 55' 54'',+ 03H 59' 14'',3404
2013,154, BRETT DANIEL LANCASTER,186,ORICA GREENEDGE,87H 56' 59'',+ 04H 00' 19'',3404
2013,155, BRIAN VANDBORG,19,CANNONDALE,87H 57' 01'',+ 04H 00' 21'',3404
2013,156, JEROME COUSIN,53,TEAM EUROPCAR,87H 57' 50'',+ 04H 01' 10'',3404
2013,157, ROBERTO FERRARI,145,LAMPRE - MERIDA,87H 58' 49'',+ 04H 02' 09'',3404
2013,158, YOHANN GENE,55,TEAM EUROPCAR,87H 59' 46'',+ 04H 03' 06'',3404
2013,159, JÉRÔME PINEAU,155,OMEGA PHARMA-QUICK STEP,87H 59' 51'',+ 04H 03' 11'',3404
2013,160, JURGEN ROELANDTS,27,LOTTO-BELISOL,87H 59' 58'',+ 04H 03' 18'',3404
2013,161, STUART O'GRADY,188,ORICA GREENEDGE,88H 00' 07'',+ 04H 03' 27'',3404
2013,162, GREGORY HENDERSON,26,LOTTO-BELISOL,88H 01' 06'',+ 04H 04' 26'',3404
2013,163, FREDERIK WILLEMS,29,LOTTO-BELISOL,88H 01' 58'',+ 04H 05' 18'',3404
2013,164, ALBERT TIMMER,198,TEAM ARGOS-SHIMANO,88H 03' 59'',+ 04H 07' 19'',3404
2013,165, JUAN JOSÉ LOBATO DEL VALLE,115,EUSKALTEL - EUSKADI,88H 04' 39'',+ 04H 07' 59'',3404
2013,166, MARCEL KITTEL,197,TEAM ARGOS-SHIMANO,88H 06' 48'',+ 04H 10' 08'',3404
2013,167, DMITRIY MURAVYEV,69,ASTANA PRO TEAM,88H 18' 26'',+ 04H 21' 46'',3404
2013,168, ASSAN BAZAYEV,62,ASTANA PRO TEAM,88H 21' 32'',+ 04H 24' 52'',3404
2013,169, SVEIN TUFT,189,ORICA GREENEDGE,88H 24' 35'',+ 04H 27' 55'',3404
2012,1, BRADLEY WIGGINS,101,SKY PROCYCLING,87H 34' 47'',-,3497
2012,2, CHRIS FROOME,105,SKY PROCYCLING,87H 38' 08'',+ 00H 03' 21'',3497
2012,3, VINCENZO NIBALI,51,LIQUIGAS-CANNONDALE,87H 41' 06'',+ 00H 06' 19'',3497
2012,4, JURGEN VAN DEN BROECK,111,LOTTO-BELISOL TEAM,87H 45' 02'',+ 00H 10' 15'',3497
2012,5, TEJAY VAN GARDEREN,9,BMC RACING TEAM,87H 45' 51'',+ 00H 11' 04'',3497
2012,6, HAIMAR ZUBELDIA,19,RADIOSHACK-NISSAN,87H 50' 28'',+ 00H 15' 41'',3497
2012,7, CADEL EVANS,1,BMC RACING TEAM,87H 50' 36'',+ 00H 15' 49'',3497
2012,8, PIERRE ROLLAND,29,TEAM EUROPCAR,87H 51' 13'',+ 00H 16' 26'',3497
2012,9, JANEZ BRAJKOVIC,181,ASTANA PRO TEAM,87H 51' 20'',+ 00H 16' 33'',3497
2012,10, THIBAUT PINOT,146,FDJ-BIGMAT,87H 52' 04'',+ 00H 17' 17'',3497
2012,11, ANDREAS KLÖDEN,15,RADIOSHACK-NISSAN,87H 52' 41'',+ 00H 17' 54'',3497
2012,12, NICOLAS ROCHE,79,AG2R LA MONDIALE,87H 54' 20'',+ 00H 19' 33'',3497
2012,13, CHRISTOPHER HORNER,14,RADIOSHACK-NISSAN,87H 54' 42'',+ 00H 19' 55'',3497
2012,14, CHRIS ANKER SORENSEN,178,TEAM SAXO BANK-TINKOFF BANK,88H 00' 14'',+ 00H 25' 27'',3497
2012,16, MAXIME MONFORT,16,RADIOSHACK-NISSAN,88H 03' 17'',+ 00H 28' 30'',3497
2012,17, EGOI MARTINEZ,35,EUSKALTEL - EUSKADI,88H 06' 33'',+ 00H 31' 46'',3497
2012,18, RUI COSTA,163,MOVISTAR TEAM,88H 11' 50'',+ 00H 37' 03'',3497
2012,19, EDUARD VORGANOV,139,KATUSHA TEAM,88H 13' 03'',+ 00H 38' 16'',3497
2012,20, ALEJANDRO VALVERDE,161,MOVISTAR TEAM,88H 17' 13'',+ 00H 42' 26'',3497
2012,22, JÉRÔME COPPEL,91,SAUR-SOJASUN,88H 20' 30'',+ 00H 45' 43'',3497
2012,23, SANDY CASAR,141,FDJ-BIGMAT,88H 21' 39'',+ 00H 46' 52'',3497
2012,24, MICHAEL ROGERS,108,SKY PROCYCLING,88H 29' 39'',+ 00H 54' 52'',3497
2012,25, MICHELE SCARPONI,41,LAMPRE - ISD,88H 33' 24'',+ 00H 58' 37'',3497
2012,26, IVAN BASSO,52,LIQUIGAS-CANNONDALE,88H 34' 31'',+ 00H 59' 44'',3497
2012,27, THOMAS VOECKLER,21,TEAM EUROPCAR,88H 39' 28'',+ 01H 04' 41'',3497
2012,28, PETER VELITS,199,OMEGA PHARMA-QUICK STEP,88H 39' 57'',+ 01H 05' 10'',3497
2012,29, LAURENS TEN DAM,157,RABOBANK CYCLING TEAM,88H 40' 26'',+ 01H 05' 39'',3497
2012,30, JELLE VANENDERT,119,LOTTO-BELISOL TEAM,88H 43' 13'',+ 01H 08' 26'',3497
2012,31, JUAN JOSE COBO ACEBO,162,MOVISTAR TEAM,88H 44' 06'',+ 01H 09' 19'',3497
2012,32, ALEXANDRE VINOKOUROV,189,ASTANA PRO TEAM,88H 50' 08'',+ 01H 15' 21'',3497
2012,33, LEVI LEIPHEIMER,191,OMEGA PHARMA-QUICK STEP,88H 51' 16'',+ 01H 16' 29'',3497
2012,34, STEVEN KRUIJSWIJK,152,RABOBANK CYCLING TEAM,88H 51' 39'',+ 01H 16' 52'',3497
2012,35, RICHIE PORTE,107,SKY PROCYCLING,88H 55' 36'',+ 01H 20' 49'',3497
2012,36, DANIEL MARTIN,65,GARMIN-SHARP,89H 00' 10'',+ 01H 25' 23'',3497
2012,38, REIN TAARAMÄE,81,COFIDIS LE CREDIT EN LIGNE,89H 02' 39'',+ 01H 27' 52'',3497
2012,39, GEORGE HINCAPIE,5,BMC RACING TEAM,89H 05' 25'',+ 01H 30' 38'',3497
2012,40, GORKA IZAGUIRRE INSAUSTI,34,EUSKALTEL - EUSKADI,89H 07' 06'',+ 01H 32' 19'',3497
2012,41, FREDRIK KESSIAKOFF,187,ASTANA PRO TEAM,89H 09' 20'',+ 01H 34' 33'',3497
2012,42, RAFAEL VALLS,128,VACANSOLEIL-DCM,89H 12' 44'',+ 01H 37' 57'',3497
2012,43, PETER SAGAN,57,LIQUIGAS-CANNONDALE,89H 13' 24'',+ 01H 38' 37'',3497
2012,44, ANDREY GRIVKO,184,ASTANA PRO TEAM,89H 13' 28'',+ 01H 38' 41'',3497
2012,45, JEAN-CHRISTOPHE PÉRAUD,71,AG2R LA MONDIALE,89H 15' 31'',+ 01H 40' 44'',3497
2012,46, AMAEL MOINARD,6,BMC RACING TEAM,89H 15' 47'',+ 01H 41' 00'',3497
2012,47, PHILIPPE GILBERT,4,BMC RACING TEAM,89H 16' 22'',+ 01H 41' 35'',3497
2012,48, DOMINIK NERZ,55,LIQUIGAS-CANNONDALE,89H 16' 59'',+ 01H 42' 12'',3497
2012,49, PIERRICK FEDRIGO,142,FDJ-BIGMAT,89H 17' 26'',+ 01H 42' 39'',3497
2012,50, MICHAEL SCHÄR,8,BMC RACING TEAM,89H 18' 40'',+ 01H 43' 53'',3497
2012,51, SERGIO MIGUEL MOREIRA PAULINHO,177,TEAM SAXO BANK-TINKOFF BANK,89H 22' 01'',+ 01H 47' 14'',3497
2012,52, YURY TROFIMOV,138,KATUSHA TEAM,89H 22' 18'',+ 01H 47' 31'',3497
2012,53, JENS VOIGT,18,RADIOSHACK-NISSAN,89H 25' 28'',+ 01H 50' 41'',3497
2012,54, VLADIMIR KARPETS,166,MOVISTAR TEAM,89H 26' 30'',+ 01H 51' 43'',3497
2012,55, FABRICE JEANDESBOZ,95,SAUR-SOJASUN,89H 27' 15'',+ 01H 52' 28'',3497
2012,56, MAXIME BOUET,72,AG2R LA MONDIALE,89H 27' 17'',+ 01H 52' 30'',3497
2012,57, EDVALD BOASSON HAGEN,102,SKY PROCYCLING,89H 27' 21'',+ 01H 52' 34'',3497
2012,58, JOHNNY HOOGERLAND,123,VACANSOLEIL-DCM,89H 30' 17'',+ 01H 55' 30'',3497
2012,59, MARCUS BURGHARDT,2,BMC RACING TEAM,89H 32' 26'',+ 01H 57' 39'',3497
2012,60, DAVIDE MALACARNE,28,TEAM EUROPCAR,89H 32' 32'',+ 01H 57' 45'',3497
2012,61, CHRISTIAN VANDE VELDE,68,GARMIN-SHARP,89H 33' 25'',+ 01H 58' 38'',3497
2012,62, CYRIL GAUTIER,24,TEAM EUROPCAR,89H 33' 42'',+ 01H 58' 55'',3497
2012,63, MIKAEL CHEREL,73,AG2R LA MONDIALE,89H 34' 40'',+ 01H 59' 53'',3497
2012,64, DMITRIY FOFONOV,183,ASTANA PRO TEAM,89H 38' 42'',+ 02H 03' 55'',3497
2012,65, LUIS LEÓN SANCHEZ,155,RABOBANK CYCLING TEAM,89H 40' 30'',+ 02H 05' 43'',3497
2012,66, SÉBASTIEN MINARD,77,AG2R LA MONDIALE,89H 41' 19'',+ 02H 06' 32'',3497
2012,67, JÉRÉMY ROY,148,FDJ-BIGMAT,89H 45' 04'',+ 02H 10' 17'',3497
2012,68, MARCO MARCATO,125,VACANSOLEIL-DCM,89H 46' 23'',+ 02H 11' 36'',3497
2012,69, DRIES DEVENYNS,194,OMEGA PHARMA-QUICK STEP,89H 47' 09'',+ 02H 12' 22'',3497
2012,70, SIMONE STORTONI,48,LAMPRE - ISD,89H 48' 26'',+ 02H 13' 39'',3497
2012,71, KEVIN DE WEERT,193,OMEGA PHARMA-QUICK STEP,89H 48' 36'',+ 02H 13' 49'',3497
2012,72, SYLVESTER SZMYD,58,LIQUIGAS-CANNONDALE,89H 51' 02'',+ 02H 16' 15'',3497
2012,73, PIETER WEENING,209,ORICA GREENEDGE,89H 52' 17'',+ 02H 17' 30'',3497
2012,74, CHRISTOPHE RIBLON,78,AG2R LA MONDIALE,89H 52' 18'',+ 02H 17' 31'',3497
2012,75, JORGE AZANZA SOTO,33,EUSKALTEL - EUSKADI,89H 53' 45'',+ 02H 18' 58'',3497
2012,76, GUILLAUME LEVARLET,97,SAUR-SOJASUN,89H 54' 30'',+ 02H 19' 43'',3497
2012,77, YAROSLAV POPOVYCH,17,RADIOSHACK-NISSAN,89H 56' 43'',+ 02H 21' 56'',3497
2012,78, VASILI KIRYIENKA,167,MOVISTAR TEAM,89H 56' 49'',+ 02H 22' 02'',3497
2012,79, ANDREY KASHECHKIN,186,ASTANA PRO TEAM,89H 57' 56'',+ 02H 23' 09'',3497
2012,80, SIMON GERRANS,201,ORICA GREENEDGE,89H 59' 22'',+ 02H 24' 35'',3497
2012,81, MARCO MARZANO,46,LAMPRE - ISD,89H 59' 33'',+ 02H 24' 46'',3497
2012,82, ADAM JAMES HANSEN,115,LOTTO-BELISOL TEAM,90H 00' 16'',+ 02H 25' 29'',3497
2012,83, CHRISTIAN KNEES,106,SKY PROCYCLING,90H 01' 30'',+ 02H 26' 43'',3497
2012,84, CHRISTOPHE KERN,27,TEAM EUROPCAR,90H 03' 48'',+ 02H 29' 01'',3497
2012,85, YUKIYA ARASHIRO,22,TEAM EUROPCAR,90H 04' 00'',+ 02H 29' 13'',3497
2012,86, MATTHIEU LADAGNOUS,144,FDJ-BIGMAT,90H 08' 01'',+ 02H 33' 14'',3497
2012,87, DANILO HONDO,43,LAMPRE - ISD,90H 12' 42'',+ 02H 37' 55'',3497
2012,88, RUBEN PEREZ MORENO,36,EUSKALTEL - EUSKADI,90H 12' 43'',+ 02H 37' 56'',3497
2012,89, MARTIN VELITS,198,OMEGA PHARMA-QUICK STEP,90H 15' 34'',+ 02H 40' 47'',3497
2012,90, BLEL KADRI,76,AG2R LA MONDIALE,90H 16' 01'',+ 02H 41' 14'',3497
2012,91, ROMAIN ZINGLE,89,COFIDIS LE CREDIT EN LIGNE,90H 16' 31'',+ 02H 41' 44'',3497
2012,92, BRICE FEILLU,94,SAUR-SOJASUN,90H 16' 37'',+ 02H 41' 50'',3497
2012,93, JULIEN SIMON,99,SAUR-SOJASUN,90H 20' 51'',+ 02H 46' 04'',3497
2012,94, MICHAEL MØRKØV,175,TEAM SAXO BANK-TINKOFF BANK,90H 21' 01'',+ 02H 46' 14'',3497
2012,95, ARTHUR VICHOT,149,FDJ-BIGMAT,90H 21' 38'',+ 02H 46' 51'',3497
2012,96, STEPHEN CUMMINGS,3,BMC RACING TEAM,90H 21' 50'',+ 02H 47' 03'',3497
2012,97, LARS BAK YTTING,112,LOTTO-BELISOL TEAM,90H 22' 52'',+ 02H 48' 05'',3497
2012,98, STUART O'GRADY,208,ORICA GREENEDGE,90H 25' 18'',+ 02H 50' 31'',3497
2012,99, KRISTIJAN KOREN,54,LIQUIGAS-CANNONDALE,90H 26' 21'',+ 02H 51' 34'',3497
2012,100, NICKI SORENSEN,179,TEAM SAXO BANK-TINKOFF BANK,90H 27' 58'',+ 02H 53' 11'',3497
2012,101, DAVID ZABRISKIE,69,GARMIN-SHARP,90H 28' 13'',+ 02H 53' 26'',3497
2012,102, RUBEN PLAZA MOLINA,168,MOVISTAR TEAM,90H 28' 22'',+ 02H 53' 35'',3497
